SrcEntity	TgtEntity	Score
http://www.example.net/ontologies/test_efs.owl/paymenttype	https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/PaymentsAndSchedules/Payment	0.9979239702224731
http://www.example.net/ontologies/test_efs.owl/paymenttype	https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/Loans/PaymentHistory	0.9904720783233643
http://www.example.net/ontologies/test_efs.owl/person	https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person	1.0
http://www.example.net/ontologies/test_efs.owl/phone	https://spec.edmcouncil.org/fibo/ontology/FND/Places/VirtualPlaces/TelephoneNumber	0.999790608882904
http://www.example.net/ontologies/test_efs.owl/product	https://spec.edmcouncil.org/fibo/ontology/FND/ProductsAndServices/ProductsAndServices/Product	1.0
http://www.example.net/ontologies/test_efs.owl/sdate	https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/Swaps/SwapDataRepository	0.9996771812438965
http://www.example.net/ontologies/test_efs.owl/sdate	https://spec.edmcouncil.org/fibo/ontology/DER/DerivativesContracts/Swaps/SwapDealer	0.9996708631515503
http://www.example.net/ontologies/test_efs.owl/sdate	https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/Analytics/StandardDeviation	0.9988245964050293
http://www.example.net/ontologies/test_efs.owl/secondary_id	https://spec.edmcouncil.org/fibo/ontology/FND/Places/Addresses/SecondaryUnit	0.9795108437538147
http://www.example.net/ontologies/test_efs.owl/secondary_id	https://spec.edmcouncil.org/fibo/ontology/FND/Places/Addresses/SecondaryUnitIndicator	0.9353459477424622
http://www.example.net/ontologies/test_efs.owl/status	https://spec.edmcouncil.org/fibo/ontology/CAE/CorporateEvents/CorporateActions/ActionStatus	0.9920914173126221
http://www.example.net/ontologies/test_efs.owl/times_in_collection	https://www.omg.org/spec/Commons/Collections/Collection	0.9994029998779297
http://www.example.net/ontologies/test_efs.owl/times_in_collection	https://www.omg.org/spec/LCC/Languages/LanguageRepresentation/Collection	0.9994029998779297
http://www.example.net/ontologies/test_efs.owl/total	https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/Analytics/Total	1.0
http://www.example.net/ontologies/test_efs.owl/total_balance	https://spec.edmcouncil.org/fibo/ontology/FBC/ProductsAndServices/ClientsAndAccounts/Balance	0.998561441898346
http://www.example.net/ontologies/test_efs.owl/total_balance	https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/Analytics/Total	0.9901933073997498
http://www.example.net/ontologies/test_efs.owl/total_outstanding	https://spec.edmcouncil.org/fibo/ontology/FND/Utilities/Analytics/Total	0.996793806552887
http://www.example.net/ontologies/test_efs.owl/total_outstanding	https://spec.edmcouncil.org/fibo/ontology/LOAN/LoansGeneral/LoanApplications/TotalDebtExpenseRatio	0.9949191808700562
